21158
(100118436, 1279864318)
(100118436, 1279864319)
(100118436, 286969786)
(100118437, 100118649)
(100118437, 114308210)
(100118442, 100118446)
(100118442, 100118454)
(100118446, 100118442)
(100118446, 1277620341)
(100118446, 1279864318)
(100118450, 100118454)
(100118450, 100118459)
(100118454, 100118442)
(100118454, 100118450)
(100118457, 100118459)
(100118457, 100118728)
(100118459, 100118450)
(100118459, 100118457)
(100118649, 100118437)
(100118649, 1277605468)
(100118693, 114309767)
(100118693, 1277605468)
(100118695, 114309768)
(100118695, 114309769)
(100118708, 100118711)
(100118708, 100118717)
(100118711, 100118708)
(100118711, 111484788)
(100118711, 111486039)
(100118713, 100118724)
(100118713, 111484790)
(100118717, 100118708)
(100118717, 111484788)
(100118721, 100118724)
(100118721, 100118728)
(100118724, 100118713)
(100118724, 100118721)
(100118728, 100118457)
(100118728, 100118721)
(100118737, 111486026)
(100118737, 311624193)
(100118741, 100118743)
(100118741, 1280038250)
(100118743, 100118741)
(100118743, 111486031)
(100118747, 100118751)
(100118747, 111467273)
(100118747, 111486035)
(100118751, 100118747)
(100118751, 1280038244)
(1043000754, 1043000761)
(1043000757, 1043000770)
(1043000757, 1043000773)
(1043000760, 1043000770)
(1043000760, 1043000780)
(1043000761, 1043000754)
(1043000761, 1143318771)
(1043000761, 25632427)
(1043000761, 513925553)
(1043000770, 1043000757)
(1043000770, 1043000760)
(1043000773, 1043000757)
(1043000773, 1043000777)
(1043000777, 1043000773)
(1043000777, 1043000780)
(1043000779, 25632427)
(1043000779, 25632428)
(1043000780, 1043000760)
(1043000780, 1043000777)
(1072187137, 1072187150)
(1072187137, 1072187152)
(1072187137, 1072187162)
(1072187139, 1072187152)
(1072187139, 1072187153)
(1072187140, 1072187144)
(1072187142, 1072187144)
(1072187142, 1072187156)
(1072187144, 1072187140)
(1072187144, 1072187142)
(1072187145, 1072187152)
(1072187145, 1072187153)
(1072187145, 1072187158)
(1072187145, 1072187169)
(1072187150, 1072187137)
(1072187150, 1072187161)
(1072187152, 1072187137)
(1072187152, 1072187139)
(1072187152, 1072187145)
(1072187153, 1072187139)
(1072187153, 1072187145)
(1072187155, 1072187158)
(1072187155, 1072187161)
(1072187156, 1072187142)
(1072187156, 1072187167)
(1072187158, 1072187145)
(1072187158, 1072187155)
(1072187161, 1072187150)
(1072187161, 1072187155)
(1072187162, 1072187137)
(1072187162, 1072187167)
(1072187167, 1072187156)
(1072187167, 1072187162)
(1072187169, 1072187145)
(1092941880, 1092942053)
(1092941880, 112594525)
(1092941880, 1147306587)
(1092941936, 1092941943)
(1092941936, 343646771)
(1092941943, 1092941936)
(1092941943, 1092941945)
(1092941945, 1092941943)
(1092941945, 1092941956)
(1092941956, 1092941945)
(1092941956, 1092941959)
(1092941959, 1092941956)
(1092941959, 1092997327)
(1092942008, 112594236)
(1092942008, 1243857876)
(1092942053, 1092941880)
(1092942053, 1092942055)
(1092942055, 1092942053)
(1092942055, 112594525)
(1092997198, 1092997391)
(1092997198, 1092997542)
(1092997200, 335739273)
(1092997303, 510772642)
(1092997327, 1092941959)
(1092997327, 335740663)
(1092997335, 335739952)
(1092997335, 343646776)
(1092997347, 1092997350)
(1092997347, 122432550)
(1092997347, 122432556)
(1092997350, 1092997347)
(1092997350, 1092997353)
(1092997353, 1092997350)
(1092997353, 335739964)
(1092997391, 1092997198)
(1092997391, 1092997394)
(1092997394, 1092997391)
(1092997540, 1092997542)
(1092997542, 1092997198)
(1092997542, 1092997540)
(1097379467, 1097379470)
(1097379467, 1097379581)
(1097379469, 1097379492)
(1097379469, 1097379651)
(1097379470, 1097379467)
(1097379470, 1097379542)
(1097379474, 1097379651)
(1097379474, 1097379657)
(1097379477, 1097379538)
(1097379477, 1097379574)
(1097379477, 1097379657)
(1097379478, 1097379530)
(1097379481, 1097379559)
(1097379481, 128655633)
(1097379481, 128655634)
(1097379489, 1097379498)
(1097379489, 1097379659)
(1097379490, 1097379614)
(1097379490, 1097379661)
(1097379492, 1097379469)
(1097379492, 415754700)
(1097379493, 1097379536)
(1097379493, 1097379550)
(1097379494, 1097379540)
(1097379494, 1097379639)
(1097379498, 1097379489)
(1097379498, 1097379631)
(1097379505, 1097379550)
(1097379505, 413301118)
(1097379506, 1097379536)
(1097379506, 1097379634)
(1097379507, 1097379622)
(1097379507, 1198770882)
(1097379508, 1097379557)
(1097379508, 1097379571)
(1097379509, 1097379559)
(1097379509, 1097379603)
(1097379511, 1097379552)
(1097379511, 1097379569)
(1097379528, 1097379603)
(1097379528, 1103500487)
(1097379530, 1097379478)
(1097379530, 1097379614)
(1097379531, 1097379534)
(1097379531, 1097379642)
(1097379534, 1097379531)
(1097379534, 1097379562)
(1097379536, 1097379493)
(1097379536, 1097379506)
(1097379538, 1097379477)
(1097379540, 1097379494)
(1097379540, 1097379548)
(1097379542, 1097379470)
(1097379542, 1097379616)
(1097379548, 1097379540)
(1097379548, 1103500536)
(1097379550, 1097379493)
(1097379550, 1097379505)
(1097379552, 1097379511)
(1097379552, 1097379577)
(1097379557, 1097379508)
(1097379557, 1103500491)
(1097379559, 1097379481)
(1097379559, 1097379509)
(1097379559, 1097379622)
(1097379559, 1198805220)
(1097379562, 1097379534)
(1097379562, 1097379584)
(1097379569, 1097379511)
(1097379569, 1097379612)
(1097379571, 1097379508)
(1097379571, 1097379610)
(1097379574, 1097379477)
(1097379574, 414913214)
(1097379574, 415754656)
(1097379577, 1097379552)
(1097379577, 1097379584)
(1097379581, 1097379467)
(1097379581, 415754671)
(1097379581, 415754672)
(1097379584, 1097379562)
(1097379584, 1097379577)
(1097379586, 1097379600)
(1097379586, 1097379614)
(1097379588, 1097379600)
(1097379600, 1097379586)
(1097379600, 1097379588)
(1097379603, 1097379509)
(1097379603, 1097379528)
(1097379607, 1097379639)
(1097379607, 1097379659)
(1097379610, 1097379571)
(1097379610, 1097379634)
(1097379612, 1097379569)
(1097379612, 1097379637)
(1097379614, 1097379490)
(1097379614, 1097379530)
(1097379614, 1097379586)
(1097379616, 1097379542)
(1097379616, 1097379661)
(1097379622, 1097379507)
(1097379622, 1097379559)
(1097379622, 415754686)
(1097379622, 415754687)
(1097379625, 1198770882)
(1097379625, 1198781157)
(1097379631, 1097379498)
(1097379631, 128655625)
(1097379634, 1097379506)
(1097379634, 1097379610)
(1097379637, 1097379612)
(1097379637, 413301117)
(1097379639, 1097379494)
(1097379639, 1097379607)
(1097379642, 1097379531)
(1097379642, 1103500489)
(1097379651, 1097379469)
(1097379651, 1097379474)
(1097379651, 415754678)
(1097379657, 1097379474)
(1097379657, 1097379477)
(1097379659, 1097379489)
(1097379659, 1097379607)
(1097379661, 1097379490)
(1097379661, 1097379616)
(1097394489, 1097394513)
(1097394489, 1097394636)
(1097394491, 1097394555)
(1097394491, 1097394574)
(1097394499, 1097394572)
(1097394499, 1097394732)
(1097394501, 1097394745)
(1097394503, 1097394511)
(1097394503, 1097394633)
(1097394504, 1097394590)
(1097394510, 1097394513)
(1097394510, 1097394646)
(1097394510, 1097394718)
(1097394511, 1097394503)
(1097394511, 1097394611)
(1097394511, 1097394613)
(1097394512, 1097394536)
(1097394512, 1097394602)
(1097394513, 1097394489)
(1097394513, 1097394510)
(1097394513, 1097394741)
(1097394514, 1097394553)
(1097394514, 1097394639)
(1097394515, 1097394611)
(1097394515, 1097394613)
(1097394515, 1097394745)
(1097394517, 1097394604)
(1097394517, 1097394741)
(1097394519, 1097394667)
(1097394520, 1097394624)
(1097394520, 1097394718)
(1097394527, 1097394609)
(1097394527, 1097394746)
(1097394531, 1097394534)
(1097394531, 1097394630)
(1097394531, 1097394712)
(1097394533, 1097394662)
(1097394534, 1097394531)
(1097394534, 1097394572)
(1097394534, 1097394637)
(1097394536, 1097394512)
(1097394536, 1097394538)
(1097394538, 1097394536)
(1097394538, 1097394605)
(1097394538, 1097394734)
(1097394546, 1097394658)
(1097394548, 1097394553)
(1097394548, 1097394626)
(1097394550, 1097394745)
(1097394553, 1097394514)
(1097394553, 1097394548)
(1097394554, 1097394691)
(1097394554, 1097394698)
(1097394555, 1097394491)
(1097394555, 1097394586)
(1097394564, 1097394598)
(1097394564, 1097394676)
(1097394568, 1097394654)
(1097394572, 1097394499)
(1097394572, 1097394534)
(1097394574, 1097394491)
(1097394586, 1097394555)
(1097394589, 1097394592)
(1097394589, 1097394593)
(1097394590, 1097394504)
(1097394590, 1097394674)
(1097394592, 1097394589)
(1097394593, 1097394589)
(1097394593, 1097394693)
(1097394596, 1097394644)
(1097394596, 1097394746)
(1097394598, 1097394564)
(1097394598, 1097394670)
(1097394601, 1097394631)
(1097394602, 1097394512)
(1097394602, 1097394728)
(1097394604, 1097394517)
(1097394604, 1097394624)
(1097394605, 1097394538)
(1097394605, 1097394639)
(1097394609, 1097394527)
(1097394609, 1097394631)
(1097394611, 1097394511)
(1097394611, 1097394515)
(1097394613, 1097394511)
(1097394613, 1097394515)
(1097394624, 1097394520)
(1097394624, 1097394604)
(1097394626, 1097394548)
(1097394626, 1097394637)
(1097394630, 1097394531)
(1097394630, 1097394721)
(1097394631, 1097394601)
(1097394631, 1097394609)
(1097394631, 1097394728)
(1097394633, 1097394503)
(1097394633, 1097394681)
(1097394636, 1097394489)
(1097394636, 1097394743)
(1097394637, 1097394534)
(1097394637, 1097394626)
(1097394639, 1097394514)
(1097394639, 1097394605)
(1097394640, 1097394694)
(1097394640, 1097394721)
(1097394642, 1097394670)
(1097394642, 1097394729)
(1097394644, 1097394596)
(1097394644, 663689259)
(1097394646, 1097394510)
(1097394646, 1097394710)
(1097394647, 1097394666)
(1097394647, 1103500515)
(1097394654, 1097394568)
(1097394657, 1097394678)
(1097394658, 1097394546)
(1097394658, 1097394662)
(1097394662, 1097394533)
(1097394662, 1097394658)
(1097394662, 1097394729)
(1097394666, 1097394647)
(1097394666, 1097394708)
(1097394666, 1103952826)
(1097394667, 1097394519)
(1097394667, 1097394678)
(1097394669, 1097394712)
(1097394669, 1097394726)
(1097394670, 1097394598)
(1097394670, 1097394642)
(1097394674, 1097394590)
(1097394674, 1097394690)
(1097394676, 1097394564)
(1097394678, 1097394657)
(1097394678, 1097394667)
(1097394680, 1097394695)
(1097394680, 1097394731)
(1097394681, 1097394633)
(1097394681, 1097394690)
(1097394690, 1097394674)
(1097394690, 1097394681)
(1097394691, 1097394554)
(1097394693, 1097394593)
(1097394693, 1097394724)
(1097394694, 1097394640)
(1097394694, 1097394734)
(1097394695, 1097394680)
(1097394695, 1097394726)
(1097394698, 1097394554)
(1097394698, 1097394708)
(1097394708, 1097394666)
(1097394708, 1097394698)
(1097394710, 1097394646)
(1097394710, 1103952950)
(1097394712, 1097394531)
(1097394712, 1097394669)
(1097394718, 1097394510)
(1097394718, 1097394520)
(1097394721, 1097394630)
(1097394721, 1097394640)
(1097394724, 1097394693)
(1097394724, 663689249)
(1097394726, 1097394669)
(1097394726, 1097394695)
(1097394728, 1097394602)
(1097394728, 1097394631)
(1097394729, 1097394642)
(1097394729, 1097394662)
(1097394731, 1097394680)
(1097394731, 1097394736)
(1097394732, 1097394499)
(1097394734, 1097394538)
(1097394734, 1097394694)
(1097394736, 1097394731)
(1097394741, 1097394513)
(1097394741, 1097394517)
(1097394743, 1097394636)
(1097394743, 1103952869)
(1097394745, 1097394501)
(1097394745, 1097394515)
(1097394745, 1097394550)
(1097394746, 1097394527)
(1097394746, 1097394596)
(1103427051, 534476350)
(1103427051, 534476357)
(1103427051, 534476366)
(1103500473, 1103500494)
(1103500473, 1103500518)
(1103500477, 1103500531)
(1103500477, 128655629)
(1103500480, 1103500535)
(1103500487, 1097379528)
(1103500487, 1103500536)
(1103500489, 1097379642)
(1103500489, 1103500500)
(1103500489, 1103500538)
(1103500491, 1097379557)
(1103500491, 1103500500)
(1103500491, 1103500518)
(1103500494, 1103500473)
(1103500494, 1103500496)
(1103500496, 1103500494)
(1103500496, 1103500516)
(1103500498, 1103500515)
(1103500500, 1103500489)
(1103500500, 1103500491)
(1103500513, 1103500521)
(1103500513, 114310459)
(1103500515, 1097394647)
(1103500515, 1103500498)
(1103500516, 1103500496)
(1103500516, 1103500538)
(1103500518, 1103500473)
(1103500518, 1103500491)
(1103500521, 1103500513)
(1103500521, 114310461)
(1103500531, 1103500477)
(1103500531, 128655630)
(1103500535, 1103500480)
(1103500536, 1097379548)
(1103500536, 1103500487)
(1103500538, 1103500489)
(1103500538, 1103500516)
(1103952808, 1103952829)
(1103952808, 1103952871)
(1103952809, 1103952831)
(1103952809, 1103952872)
(1103952810, 1103952908)
(1103952810, 1103952938)
(1103952814, 1103952824)
(1103952814, 1103952917)
(1103952816, 1103952935)
(1103952816, 1103952948)
(1103952818, 1103952919)
(1103952818, 1103952951)
(1103952820, 1103952847)
(1103952820, 1103952887)
(1103952822, 1103952888)
(1103952822, 1103952934)
(1103952824, 1103952814)
(1103952824, 1103952889)
(1103952825, 1103952851)
(1103952825, 1103952890)
(1103952826, 1097394666)
(1103952826, 1103952854)
(1103952826, 1103952891)
(1103952827, 1103952923)
(1103952827, 1103952924)
(1103952829, 1103952808)
(1103952829, 114310456)
(1103952831, 1103952809)
(1103952831, 1103952924)
(1103952835, 1103952903)
(1103952835, 114322158)
(1103952838, 1103952883)
(1103952841, 1103952872)
(1103952841, 1103952905)
(1103952843, 1103952907)
(1103952847, 1103952820)
